time,pm10,pm2_5,ozone,nitrogen_dioxide,temp,humidity,pressure,wind_speed,hour,day_of_week,month,hour_sin,hour_cos,month_sin,month_cos,is_holiday,is_weekend,pm2_5_24h_avg,pm10_24h_avg
2025-04-01 13:00:00,10.4,6.9,83.0,12.3,8.17,81.0,1006.0,2.56,13,1,4,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,False,8.233333333333333,13.108333333333333
2025-04-01 14:00:00,10.4,6.6,84.0,11.0,8.17,81.0,1006.0,2.56,14,1,4,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,0,False,8.304166666666667,13.225000000000001
2025-04-01 15:00:00,9.3,6.7,85.0,11.8,8.17,81.0,1006.0,2.56,15,1,4,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,0,False,8.375,13.308333333333335
2025-04-01 16:00:00,8.9,7.2,81.0,15.7,8.17,81.0,1006.0,2.56,16,1,4,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0,False,8.445833333333333,13.329166666666666
2025-04-01 17:00:00,10.2,7.6,74.0,17.0,8.17,81.0,1006.0,2.56,17,1,4,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,False,8.4375,13.270833333333334
2025-04-01 18:00:00,9.9,8.3,69.0,18.5,8.17,81.0,1006.0,2.56,18,1,4,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,0,False,8.366666666666665,13.054166666666667
2025-04-01 19:00:00,12.3,9.5,67.0,23.3,8.17,81.0,1006.0,2.56,19,1,4,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,0,False,8.375,13.012499999999998
2025-04-01 20:00:00,13.8,9.9,70.0,23.3,8.17,81.0,1006.0,2.56,20,1,4,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,False,8.441666666666666,13.029166666666667
2025-04-01 21:00:00,15.2,9.7,64.0,24.1,8.17,81.0,1006.0,2.56,21,1,4,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,0,False,8.5125,13.137499999999998
2025-04-01 22:00:00,16.0,11.0,60.0,20.8,8.17,81.0,1006.0,2.56,22,1,4,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,0,False,8.6,13.262499999999998
2025-04-01 23:00:00,15.9,11.8,64.0,20.8,8.17,81.0,1006.0,2.56,23,1,4,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,0,False,8.700000000000001,13.245833333333335
2025-04-02 00:00:00,15.3,11.0,68.0,17.3,8.17,81.0,1006.0,2.56,0,2,4,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,False,8.799999999999999,13.225000000000001
2025-04-02 01:00:00,16.1,11.1,66.0,16.3,8.17,81.0,1006.0,2.56,1,2,4,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,False,8.95,13.308333333333332
2025-04-02 02:00:00,15.9,12.6,62.0,17.0,8.17,81.0,1006.0,2.56,2,2,4,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,False,9.195833333333333,13.433333333333335
2025-04-02 03:00:00,16.9,12.4,60.0,16.5,8.17,81.0,1006.0,2.56,3,2,4,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,0,False,9.45,13.608333333333334
2025-04-02 04:00:00,17.3,12.8,60.0,15.3,8.17,81.0,1006.0,2.56,4,2,4,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,False,9.7125,13.733333333333334
2025-04-02 05:00:00,16.7,12.5,58.0,16.1,8.17,81.0,1006.0,2.56,5,2,4,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,0,False,9.924999999999999,13.862499999999999
2025-04-02 06:00:00,16.3,12.4,51.0,23.6,8.17,81.0,1006.0,2.56,6,2,4,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0,False,10.029166666666667,13.9375
